Local time,Open,High,Low,Close,Volume
02.01.2020 09:00:00.000 GMT-0500,323.622,324.002,323.482,323.873,4.4412
02.01.2020 10:00:00.000 GMT-0500,323.612,323.633,322.772,323.252,7.1085
02.01.2020 11:00:00.000 GMT-0500,323.262,323.373,322.542,323.072,12.8229
02.01.2020 12:00:00.000 GMT-0500,323.083,323.462,322.932,323.373,10.624
02.01.2020 13:00:00.000 GMT-0500,323.372,323.373,322.982,323.173,8.6729
02.01.2020 14:00:00.000 GMT-0500,323.172,323.883,323.142,323.792,9.8928
02.01.2020 15:00:00.000 GMT-0500,323.793,324.812,323.752,324.812,12.0242
03.01.2020 09:00:00.000 GMT-0500,321.153,322.963,321.132,322.753,13.6646
03.01.2020 10:00:00.000 GMT-0500,322.752,323.093,322.042,322.513,21.405
03.01.2020 11:00:00.000 GMT-0500,322.522,323.233,322.172,323.142,9.7443
03.01.2020 12:00:00.000 GMT-0500,323.143,323.653,323.132,323.422,11.6627
03.01.2020 13:00:00.000 GMT-0500,323.422,323.553,322.332,322.943,14.0129
03.01.2020 14:00:00.000 GMT-0500,322.942,323.323,322.582,323.252,12.5305
03.01.2020 15:00:00.000 GMT-0500,323.253,323.543,322.462,322.602,15.0172
06.01.2020 09:00:00.000 GMT-0500,320.493,321.753,320.392,321.593,13.7944
06.01.2020 10:00:00.000 GMT-0500,321.602,322.503,321.482,322.232,20.1798
06.01.2020 11:00:00.000 GMT-0500,322.233,322.572,322.092,322.282,15.2874
06.01.2020 12:00:00.000 GMT-0500,322.283,322.513,322.153,322.413,11.4445
06.01.2020 13:00:00.000 GMT-0500,322.402,322.883,322.362,322.752,8.9265
06.01.2020 14:00:00.000 GMT-0500,322.762,323.222,322.612,323.002,10.4044
06.01.2020 15:00:00.000 GMT-0500,323.002,323.742,322.902,323.602,13.5226
07.01.2020 09:00:00.000 GMT-0500,323.022,323.302,322.252,322.582,13.4791
07.01.2020 10:00:00.000 GMT-0500,322.582,323.373,322.462,323.262,23.5952
07.01.2020 11:00:00.000 GMT-0500,323.262,323.553,322.742,322.863,15.0916
07.01.2020 12:00:00.000 GMT-0500,322.853,323.063,322.712,322.903,11.7753
07.01.2020 13:00:00.000 GMT-0500,322.902,323.163,322.892,323.153,9.1677
07.01.2020 14:00:00.000 GMT-0500,323.152,323.173,322.642,323.003,12.463
07.01.2020 15:00:00.000 GMT-0500,323.002,323.363,322.662,322.813,13.5427
08.01.2020 09:00:00.000 GMT-0500,322.962,323.863,322.682,323.733,13.1963
08.01.2020 10:00:00.000 GMT-0500,323.732,323.983,322.892,323.322,19.8523
08.01.2020 11:00:00.000 GMT-0500,323.313,325.233,323.102,324.812,21.0299
08.01.2020 12:00:00.000 GMT-0500,324.812,325.083,324.722,324.892,16.0432
08.01.2020 13:00:00.000 GMT-0500,324.893,324.983,324.582,324.622,11.0945
08.01.2020 14:00:00.000 GMT-0500,324.632,325.263,324.622,325.262,10.54
08.01.2020 15:00:00.000 GMT-0500,325.263,325.783,324.242,324.393,15.6587
09.01.2020 09:00:00.000 GMT-0500,326.173,326.483,325.672,326.023,12.6971
09.01.2020 10:00:00.000 GMT-0500,326.003,326.562,325.722,326.473,17.3585
09.01.2020 11:00:00.000 GMT-0500,326.472,326.612,326.102,326.532,13.6922
09.01.2020 12:00:00.000 GMT-0500,326.533,326.613,325.532,326.052,15.3213
09.01.2020 13:00:00.000 GMT-0500,326.062,326.422,325.762,326.203,13.7876
09.01.2020 14:00:00.000 GMT-0500,326.202,326.743,326.172,326.503,12.0655
09.01.2020 15:00:00.000 GMT-0500,326.493,326.692,326.122,326.612,13.6088
